"ID_lambea","Familia","Variante","Categoría_web","Nombre_completo","SKU_propuesto","Descripción_corta","Precio_desde_EUR","Precio_hasta_EUR","Formatos","Valoración","Num_valoraciones","Código_toxicología","Instrucciones_uso","Usos_principales","Aplicaciones","Promo_3x2","URL_web_oficial","Carpeta_local","Carpeta_existe","Ficha_producto_md","PDF_ficha_técnica","Num_imágenes_local","Envío_península","Envío_baleares","Bestseller","Notas"
"antideslilam-nautico","ANTIDESLILAM","nautico","Náutico","ANTIDESLILAM NÁUTICO","LAM-ANTI-NAU","Antideslizante para superficies deslizantes. Barniz especial.","20.5","41.0","400 ml","","","","","Evitar resbalones; Acabado de seguridad en superficies","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/antideslizante-nautico-antideslizante-para-superficies-deslizantes-formula-especial-nautica-400-ml/","01-limpieza-barcos/12-antideslizante-nautico","Sí","Sí","Sí","4","Gratis","~€4","No",""
"antideslilam-caravaning","ANTIDESLILAM","caravaning","Caravaning","ANTIDESLILAM CARAVANING","LAM-ANTI-CAR","Antideslizante para superficies deslizantes. Barniz especial.","20.5","41.0","400 ml","","","","","Evitar resbalones; Acabado de seguridad en superficies","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/antideslilam-caravaning-antideslizante-para-superficies-deslizantes-formula-especial-caravana-400-ml/","02-limpieza-caravanas/11-antideslizante-caravaning","Sí","Sí","Sí","4","Gratis","~€4","No",""
"antideslilam-generico","ANTIDESLILAM","generico","Genérico","ANTIDESLILAM GENÉRICO","LAM-ANTI-GEN","Antideslizante para superficies deslizantes. Barniz especial.","20.5","41.0","400 ml","","","","","Evitar resbalones; Acabado de seguridad en superficies","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/antideslilam-antideslizante-para-superficies-deslizantes-400-ml-barniz/","03-industriales/11-antideslizante-industrial","Sí","Sí","Sí","4","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"decalam-nautico","DECALAM","nautico","Náutico","DECALAM NÁUTICO","LAM-DEC-NAU","Decapante en gel para soldaduras en acero inoxidable","33.4","66.8","1 kg","","","","","Limpieza de soldaduras inox; Eliminación oxidación por calor","nautico; industrial","Sí","https://grupolambea.com/producto/decalam-nautico-decapante-gel-para-soldaduras-en-acero-inoxidables-1-kg/","01-limpieza-barcos/08-decalam-nautico","Sí","Sí","Sí","3","Gratis","~€4","No",""
"decalam-generico","DECALAM","generico","Genérico","DECALAM GENÉRICO","LAM-DEC-GEN","Decapante en gel para soldaduras en acero inoxidable","33.4","66.8","1 kg","","","","","Limpieza de soldaduras inox; Eliminación oxidación por calor","nautico; industrial","Sí","https://grupolambea.com/producto/decalam-decapante-gel-para-soldaduras-en-acero-inoxidables-1kg-concentrado/","03-industriales/07-decalam-industrial","Sí","Sí","Sí","2","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"desoxilam-nautico","DESOXILAM","nautico","Náutico","DESOXILAM NÁUTICO","LAM-DESOXI-NAU","Desoxidante enérgico concentrado con efecto pasivante","7.5","391.0","125 ml | 250 ml | 500 ml | 1 L | 5 L | 25 L","5.0","7","180025/LAM","Aplicar puro o diluido (1:4 con agua). Dejar actuar 1-3 minutos y aclarar. No dejar secar.","Eliminar óxido; Eliminar cal; Eliminar incrustaciones; Desoxidación de metales","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/desoxilam-nautico-desoxidante-energico-con-efecto-pasivante-no-efecta-a-plasticos-pintura-y-otras-instalaciones-1-litro-desincrustante-barco/","01-limpieza-barcos/03-desoxilam-nautico","Sí","Sí","Sí","6","Gratis","~€4","Sí",""
"desoxilam-caravaning","DESOXILAM","caravaning","Caravaning","DESOXILAM CARAVANING","LAM-DESOXI-CAR","Desoxidante enérgico concentrado con efecto pasivante","7.5","391.0","125 ml | 250 ml | 500 ml | 1 L | 5 L | 25 L","5.0","7","180025/LAM","Aplicar puro o diluido (1:4 con agua). Dejar actuar 1-3 minutos y aclarar. No dejar secar.","Eliminar óxido; Eliminar cal; Eliminar incrustaciones; Desoxidación de metales","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/desoxilam-caravaning-desoxidante-energico-con-efecto-pasivante-no-efecta-a-plasticos-pintura-y-otras-instalaciones-1-litro-desincrustante-caravana/","02-limpieza-caravanas/03-desoxilam-caravaning","Sí","Sí","Sí","11","Gratis","~€4","Sí",""
"desoxilam-generico","DESOXILAM","generico","Genérico","DESOXILAM GENÉRICO","LAM-DESOXI-GEN","Desoxidante enérgico concentrado con efecto pasivante","7.5","391.0","125 ml | 250 ml | 500 ml | 1 L | 5 L | 25 L","5.0","7","180025/LAM","Aplicar puro o diluido (1:4 con agua). Dejar actuar 1-3 minutos y aclarar. No dejar secar.","Eliminar óxido; Eliminar cal; Eliminar incrustaciones; Desoxidación de metales","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/desoxilam-desoxidante-energico-con-efecto-pasivante-no-efecta-a-plasticos-pintura-y-otras-instalaciones-1-litro-desincrustante-concentrado/","03-industriales/03-desoxilam-industrial","Sí","Sí","Sí","12","Gratis","~€4","Sí","URL genérica — puede cubrir varias categorías"
"fibralam-nautico","FIBRALAM","nautico","Náutico","FIBRALAM NÁUTICO","LAM-FIB-NAU","Limpiador y blanqueador 2 en 1 para fibra de vidrio y gelcoat","17.5","371.87","1 L | 5 L | 25 L","5.0","1","170177/LAM","Diluir 1:7 (o 1:4 en superficies muy sucias). Aplicar con fregona, cepillo o manopla. Esperar 15 min y aclarar.","Limpieza cascos barcos; Blanqueado gelcoat; Limpieza cubiertas","nautico; caravaning","Sí","https://grupolambea.com/producto/fibralam-nautico-limpiador-y-blanqueador-2-en-1-para-fibra-de-vidrio-y-gelcoat-especial-cascos-de-barcos-1-litro-barco/","01-limpieza-barcos/04-fibralam-nautico","Sí","Sí","Sí","4","Gratis","~€4","No",""
"fibralam-caravaning","FIBRALAM","caravaning","Caravaning","FIBRALAM CARAVANING","LAM-FIB-CAR","Limpiador y blanqueador 2 en 1 para fibra de vidrio y gelcoat","17.5","371.87","1 L | 5 L | 25 L","5.0","1","170177/LAM","Diluir 1:7 (o 1:4 en superficies muy sucias). Aplicar con fregona, cepillo o manopla. Esperar 15 min y aclarar.","Limpieza cascos barcos; Blanqueado gelcoat; Limpieza cubiertas","nautico; caravaning","Sí","https://grupolambea.com/producto/fibralam-caravaning-limpiador-y-blanqueador-2-en-1-para-fibra-de-vidro-gelcoat-1-litro-caravana/","02-limpieza-caravanas/04-fibralam-caravaning","Sí","Sí","Sí","0","Gratis","~€4","No",""
"fosslam-nautico","FOSSLAM","nautico","Náutico","FOSSLAM NÁUTICO","LAM-FOSS-NAU","Limpiador de inodoros químicos y WC portátiles 4 en 1","29.0","688.75","1 L | 5 L | 25 L","5.0","2","","Añadir 50-100 ml por cada 10 litros de capacidad del depósito. Verter 2 litros de agua en el depósito.","Inodoros químicos; WC portátiles; Fosas sépticas; Eliminación de olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/fosslam-nautico-limpiador-de-inodoros-quimicos-y-vater-wc-portatiles-4-en-1-1-litro-concentrado-especial-nautica-concentrado/","01-limpieza-barcos/10-fosslam-nautico","Sí","Sí","Sí","7","Gratis","~€4","No",""
"fosslam-caravaning","FOSSLAM","caravaning","Caravaning","FOSSLAM CARAVANING","LAM-FOSS-CAR","Limpiador de inodoros químicos y WC portátiles 4 en 1","29.0","688.75","1 L | 5 L | 25 L","5.0","2","","Añadir 50-100 ml por cada 10 litros de capacidad del depósito. Verter 2 litros de agua en el depósito.","Inodoros químicos; WC portátiles; Fosas sépticas; Eliminación de olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/fosslam-caravaning-limpiador-de-inodoros-quimicos-y-vater-wc-portatiles-4-en-1-1-litro-concentrado/","02-limpieza-caravanas/09-fosslam-caravaning","Sí","Sí","Sí","7","Gratis","~€4","No",""
"fosslam-generico","FOSSLAM","generico","Genérico","FOSSLAM GENÉRICO","LAM-FOSS-GEN","Limpiador de inodoros químicos y WC portátiles 4 en 1","29.0","688.75","1 L | 5 L | 25 L","5.0","2","","Añadir 50-100 ml por cada 10 litros de capacidad del depósito. Verter 2 litros de agua en el depósito.","Inodoros químicos; WC portátiles; Fosas sépticas; Eliminación de olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/fosslam-limpiador-de-inodoros-quimicos-y-vater-wc-portatiles-4-en-1-1-litro-concentrado/","03-industriales/09-fosslam-industrial","Sí","Sí","Sí","8","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"gelcoatlam-fase-1-nautico","GELCOATLAM","fase_1/nautico","Náutico","GELCOATLAM FASE 1 NÁUTICO","LAM-GEL-F1-NAU","Pasta de pulir de alto corte para fibra de vidrio y gelcoat","30.0","60.0","1 kg","5.0","2","","Lijar superficie con lija 2000/2500/3000. Agitar el producto. Aplicar con disco recomendado. Seguir con Gelcoatlam Fase 2.","Pulido fibra vidrio; Restauración gelcoat; Alto corte","nautico; caravaning","Sí","https://grupolambea.com/producto/gelcoatlam-fase-1-pasta-de-pulir-pulimento-de-fibra-de-vidro-gelcoat-de-alto-corte-limpiador-blanqueador-para-fibra-de-vidrio-y-gelcoat-especial-nautico-1-kg/","01-limpieza-barcos/17-gelcoatlam-fase-1","Sí","Sí","Sí","4","Gratis","~€4","No","Fórmula válida también Caravaning"
"gelcoatlam-fase-1-caravaning","GELCOATLAM","fase_1/caravaning","Caravaning","GELCOATLAM FASE 1 CARAVANING","LAM-GEL-F1-CAR","Pasta de pulir de alto corte para fibra de vidrio y gelcoat","30.0","60.0","1 kg","5.0","2","","Lijar superficie con lija 2000/2500/3000. Agitar el producto. Aplicar con disco recomendado. Seguir con Gelcoatlam Fase 2.","Pulido fibra vidrio; Restauración gelcoat; Alto corte","nautico; caravaning","Sí","","02-limpieza-caravanas/15-gelcoatlam-fase-1","No","No","No","0","Gratis","~€4","No","URL no en JSON — verificar WooCommerce"
"gelcoatlam-fase-2-nautico","GELCOATLAM","fase_2/nautico","Náutico","GELCOATLAM FASE 2 NÁUTICO","LAM-GEL-F2-NAU","Pasta de pulir acabado superbrillo para fibra de vidrio y gelcoat","30.0","60.0","1 kg","","","","","Acabado superbrillo; Pulido final fibra vidrio","nautico","Sí","https://grupolambea.com/producto/gelcoatlam-fase-2-pasta-de-pulir-pulimento-limpiador-blanqueador-de-fibra-de-vidrio-gelcoat-acabado-super-brillo-especial-nautica-1-kg/","01-limpieza-barcos/18-gelcoatlam-fase-2","Sí","Sí","Sí","4","Gratis","~€4","No",""
"inyeclam_diesel-pre_itv","INYECLAM DIESEL","pre_itv","PRE-ITV","INYECLAM DIESEL PRE-ITV","LAM-INYD-PRE","Aditivo para combustible diésel. Limpiador de inyectores y sistema de alimentación.","18.0","104.0","250 ml | 1 L","5.0","5","DRP19-0005580","Añadir 250 ml por depósito (con ~15 L restantes). Repetir cada 10.000 km.","Limpieza inyectores diésel; Preparación ITV; Reducción consumo; Recuperación potencia","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/inyeclam-diesel-aditivo-para-combustible-especial-pre-itv-limpiador-de-inyectores-y-sistema-de-alimentacion-diesel/","01-limpieza-barcos/01-inyeclam-diesel","Sí","Sí","Sí","5","Gratis","~€4","Sí","Versión especial PRE-ITV"
"inyeclam_diesel-nautico","INYECLAM DIESEL","nautico","Náutico","INYECLAM DIESEL NÁUTICO","LAM-INYD-NAU","Aditivo para combustible diésel. Limpiador de inyectores y sistema de alimentación.","18.0","104.0","250 ml | 1 L","5.0","5","DRP19-0005580","Añadir 250 ml por depósito (con ~15 L restantes). Repetir cada 10.000 km.","Limpieza inyectores diésel; Preparación ITV; Reducción consumo; Recuperación potencia","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/inyeclam-diesel-aditivo-para-combustible-limpiador-de-inyectores-y-sistema-de-alimentacion-diesel/","01-limpieza-barcos/01-inyeclam-diesel","Sí","Sí","Sí","5","Gratis","~€4","Sí",""
"inyeclam_gasolina-pre_itv","INYECLAM GASOLINA","pre_itv","PRE-ITV","INYECLAM GASOLINA PRE-ITV","LAM-INYG-PRE","Aditivo para combustible gasolina. Limpiador de inyectores y sistema de alimentación.","18.0","104.0","250 ml | 1 L","5.0","3","","Añadir 250 ml por depósito (con ~15 L restantes). Repetir cada 10.000 km.","","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/inyeclam-gasolina-aditivo-para-combustible-especial-pre-itv-limpiador-de-inyectores-y-sistema-de-alimentacion-gasolina/","01-limpieza-barcos/02-inyeclam-gasolina","Sí","Sí","Sí","4","Gratis","~€4","No","Versión especial PRE-ITV"
"inyeclam_gasolina-nautico","INYECLAM GASOLINA","nautico","Náutico","INYECLAM GASOLINA NÁUTICO","LAM-INYG-NAU","Aditivo para combustible gasolina. Limpiador de inyectores y sistema de alimentación.","18.0","104.0","250 ml | 1 L","5.0","3","","Añadir 250 ml por depósito (con ~15 L restantes). Repetir cada 10.000 km.","","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/inyeclam-gasolina-aditivo-para-combustible-limpiador-de-inyectores-y-sistema-de-alimentacion-gasolina/","01-limpieza-barcos/02-inyeclam-gasolina","Sí","Sí","Sí","4","Gratis","~€4","No",""
"manzalam-nautico","MANZALAM","nautico","Náutico","MANZALAM NÁUTICO","LAM-MAN-NAU","Limpiador y reparador multiusos ecológico. Base de vinagre de manzana.","18.0","382.0","1 L | 5 L | 25 L","4.75","4","180065/LAM","Diluir 1:4 para uso normal, hasta 1:7. Aplicar, esperar 4-6 min, fregar con cepillo suave y aclarar. Para residuos difíciles: dilución 1:1.","Limpieza acero inoxidable; Eliminación cal y óxido; Limpieza multiusos ecológica","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/manzalam-nautico-limpiador-y-reparador-multiusos-limpia-superficies-de-acero-inoxidable-satinado-y-elimina-restos-de-cal-y-oxido-1-litro-concentrado/","01-limpieza-barcos/05-manzalam-nautico","Sí","Sí","Sí","5","Gratis","~€4","No",""
"manzalam-industrial","MANZALAM","industrial","Industrial","MANZALAM INDUSTRIAL","LAM-MAN-IND","Limpiador y reparador multiusos ecológico. Base de vinagre de manzana.","18.0","382.0","1 L | 5 L | 25 L","4.75","4","180065/LAM","Diluir 1:4 para uso normal, hasta 1:7. Aplicar, esperar 4-6 min, fregar con cepillo suave y aclarar. Para residuos difíciles: dilución 1:1.","Limpieza acero inoxidable; Eliminación cal y óxido; Limpieza multiusos ecológica","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/manzalam-industriales-limpiador-y-reparador-multiusos-limpia-superficies-de-acero-inoxidable-satinado-y-elimina-restos-de-cal-y-oxido-1-litro-concentrado/","03-industriales/04-manzalam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL específica industrial; Caravaning puede compartirla"
"manzalam-generico","MANZALAM","generico","Genérico","MANZALAM GENÉRICO","LAM-MAN-GEN","Limpiador y reparador multiusos ecológico. Base de vinagre de manzana.","18.0","382.0","1 L | 5 L | 25 L","4.75","4","180065/LAM","Diluir 1:4 para uso normal, hasta 1:7. Aplicar, esperar 4-6 min, fregar con cepillo suave y aclarar. Para residuos difíciles: dilución 1:1.","Limpieza acero inoxidable; Eliminación cal y óxido; Limpieza multiusos ecológica","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/manzalam-limpiador-y-reparador-multiusos-limpia-superficies-de-acero-inoxidable-satinado-y-elimina-restos-de-cal-y-oxido-1-litro-concentrado/","03-industriales/04-manzalam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
