"ID","Tipo","Nombre","Publicado","Categorías","Precio normal","Imágenes","Meta: ficha_tecnica","Meta: codigo_de_toxicologia","Descripción corta"
"15644","variable","DISCO COMPACTO A2 - Para esmerilar soldaduras - De 150 X 3 - 150 X 6 - 150 X 12mm (Disponible en Paquetes de Cinco y Diez Unidades)","0","DISCOS Y ABRASIVOS","","https://grupolambea.com/wp-content/uploads/2021/09/f1-1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/f2.jpg","","","\n
\nDisco para esmerilar soldaduras y rincones."
"15645","variable","DISCO DE CUERDA TRIPLE con impregnación roja para pulidoras planas (Disponible en Paquetes de Cinco y Diez Unidades)","0","DISCOS Y ABRASIVOS","","https://grupolambea.com/wp-content/uploads/2021/09/442423.jpg, https://grupolambea.com/wp-content/uploads/2021/09/2-DISCO-DE-CURERDA-TRIPLE-IMPRECNADO-7.jpg","","","\n 	Disco con cuerdas triples para pulidoras planas, siendo de una eficacia excepcional gracias a que mantiene su firmeza hasta el final de su durabilidad, ahorrando más del 50% en mano de obra.
\n"
"15646","variable","DISCO COMPRESER CON SOPORTE ARIDO PARA RADIAL","0","DISCOS Y ABRASIVOS","","https://grupolambea.com/wp-content/uploads/2021/09/MVIMG_20180721_111411_795-1.jpg","","","Disco compreser con soporte arido para radial"
"15647","variable","DISCO DE FRANELA IMPREGNACIÓN ROSA","0","DISCOS Y ABRASIVOS","","https://grupolambea.com/wp-content/uploads/2021/09/IMG_20210715_184734-scaled-1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/b2-1.jpg","","","Disco con soporte que trabaja a 11000 RPM"
"15660","variable","GELCOATLAM FASE 2 - Pasta de Pulir – Pulimento Limpiador/Blanqueador de Fibra de Vidrio (Gelcoat) Acabado Súper Brillo – Especial Caravaning - 1 Kg","-1","Sin categorizar","","https://grupolambea.com/wp-content/uploads/2021/09/20200202_133758.jpg, https://grupolambea.com/wp-content/uploads/2021/09/Autocaravana-bruta-2.jpg","https://grupolambea.com/wp-content/uploads/2025/03/FICHA-TECNICA-GELCOATLAM-FASE-2-CARAVANING.pdf","En proceso de gestión. Pida más info por mail","\n 	 Pasta de pulir de grano fino con un acabado super brillo. 
\n 	 Una vez aplicado GELCOATLAM FASE 1, limpiar bien sin dejar restos. 
\n 	 Usar boina o esponja aconsejada por el fabricante. 
\n 	 Brillo excepcional. 
\n 	 Fórmula especial Lambea. Todos nuestros productos están registrados en toxicología. 
\n
\n"
"15661","simple","AUTOLAM FASE 1 - Pasta para pulir todo tipo de pinturas y barnices - Caravaning","0","PRODUCTOS CARAVANING","32","https://grupolambea.com/wp-content/uploads/2021/09/autolam2.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam3.jpg","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-1-CARAVANING.pdf","En proceso de gestión. Pida más info por mail","\n 	Primera fase
\n 	Pasta de pulir de alto corte
\n 	Sirve para pulir todo tipo de pinturas y barnices, bien para integración de parches o piezas enteras.
\n 	Utilizar siempre esponjas o boinas recomendadas por el fabricante.
\n"
"15663","simple","AUTOLAM FASE 3 - Pasta para pulir todo tipo de pinturas y barnices - Caravaning","0","PRODUCTOS CARAVANING","32","https://grupolambea.com/wp-content/uploads/2021/09/autolam2.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam3.jpg","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-3-CARAVANING.pdf","","\n 	Fase 3
\n 	Pasta de pulir de corte fino para pulir todo tipo de pinturas y barnices.
\n 	Especial para acabados excepcionales para clientes muy exigentes.
\n 	No utilizar boinas o esponjas que hayan sido utilizadas con otras pastas, utilizar siempre la boina o esponja aconsejada por el fabricante.
\n"
"15754","simple","AUTOLAM FASE 1 - Pasta para pulir todo tipo de pinturas y barnices","0","PRODUCTOS INDUSTRIALES","32","https://grupolambea.com/wp-content/uploads/2021/09/autolam2.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam3.jpg","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-1.pdf","En proceso de gestión. Pida más info por mail","\n 	Primera fase
\n 	Pasta de pulir de alto corte
\n 	Sirve para pulir todo tipo de pinturas y barnices, bien para integración de parches o piezas enteras.
\n 	Utilizar siempre esponjas o boinas recomendadas por el fabricante.
\n"
"15755","simple","AUTOLAM FASE 2 - Pasta para Pulir  todo tipo de Pinturas y Barnices","0","PRODUCTOS INDUSTRIALES","32","https://grupolambea.com/wp-content/uploads/2021/09/autolam3.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam2.jpg","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-2.pdf","En proceso de gestión. Pida más info por mail","\n 	Pasta de pulir de corte medio para pulir todo tipo de pinturas y barnices.
\n 	Una vez aplicada la fase 1 aplicaremos la fase 2 con la esponja recomendada por el fabricante.
\n 	No utilizar boinas que hayan sido utilizadas con otras pastas, utilizar siempre boinas o esponjas aconsejadas por el fabricante.
\n 	TODOS NUESTROS PRODUCTOS ESTÁN REGISTRADOS EN TOXICOLOGÍA
\n"
"15756","simple","AUTOLAM FASE 3 - Pasta para pulir todo tipo de pinturas y barnices","0","PRODUCTOS INDUSTRIALES","32","","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-3.pdf","","\n 	Fase 3
\n 	Pasta de pulir de corte fino para pulir todo tipo de pinturas y barnices.
\n 	Especial para acabados excepcionales para clientes muy exigentes.
\n 	No utilizar boinas o esponjas que hayan sido utilizadas con otras pastas, utilizar siempre la boina o esponja aconsejada por el fabricante.
\n"
"17949","variable","AUTOLAM FASE 2- Pasta para Pulir  todo tipo de Pinturas y Barnices - Caravaning","0","PRODUCTOS CARAVANING","","https://grupolambea.com/wp-content/uploads/2021/09/autolam3.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam1.jpg, https://grupolambea.com/wp-content/uploads/2021/09/autolam2.jpg","https://grupolambea.com/wp-content/uploads/2022/01/FICHA-TECNICA-AUTOLAM-FASE-2.pdf","En proceso de gestión. Pida más info por mail","\n 	Pasta de pulir de corte medio para pulir todo tipo de pinturas y barnices.
\n 	Una vez aplicada la fase 1 aplicaremos la fase 2 con la esponja recomendada por el fabricante.
\n 	No utilizar boinas que hayan sido utilizadas con otras pastas, utilizar siempre boinas o esponjas aconsejadas por el fabricante.
\n 	TODOS NUESTROS PRODUCTOS ESTÁN REGISTRADOS EN TOXICOLOGÍA
\n"
